state_id,people,Don't know/Not sure,Refused,18-24,25-34,35-44,45-54,55-64,65-99
1,7668,10,54,212,608,917,1409,1704,2753
2,1964,2,23,88,258,335,463,456,338
3,0,0,0,0,0,0,0,0,0
4,5756,3,45,163,378,575,882,1286,2423
5,4027,2,29,96,236,411,664,936,1652
6,17778,0,1,721,1723,2687,3398,3761,5486
7,0,0,0,0,0,0,0,0,0
8,11663,7,133,284,858,1691,2439,2822,3428
9,6776,4,119,166,516,952,1350,1410,2258
10,4246,0,51,130,325,555,777,967,1440
11,3976,2,64,92,419,564,719,877,1238
12,35109,15,324,858,2262,3617,5841,7895,14296
13,5788,16,58,118,515,803,1190,1269,1818
14,0,0,0,0,0,0,0,0,0
15,6552,0,42,261,481,777,1172,1624,2193
16,7009,2,59,183,591,882,1247,1623,2421
17,5202,0,25,174,386,736,1029,1151,1700
18,10219,3,96,302,829,1279,1856,2414,3439
19,6102,3,40,161,448,769,1158,1318,2204
20,8570,4,45,214,665,1075,1666,1939,2961
21,8061,5,56,229,599,1014,1575,1924,2658
22,7032,8,47,229,621,914,1425,1616,2171
23,8132,5,47,214,517,997,1693,2013,2645
24,9185,9,125,241,746,1383,2058,2074,2548
25,16311,44,233,365,1362,2500,3431,3591,4784
26,8863,3,87,314,499,981,1659,2127,3192
27,8968,15,86,154,774,1451,1999,2028,2460
28,8089,2,43,228,590,923,1401,1927,2974
29,5429,2,39,149,416,641,1015,1190,1976
30,7304,2,33,196,567,864,1374,1801,2466
31,16389,4,42,390,1096,1891,3095,3588,6282
32,3913,3,43,131,330,516,723,888,1278
33,6046,4,79,137,361,804,1251,1433,1976
34,12438,35,161,295,1018,2024,2870,2554,3480
35,6997,3,61,211,517,829,1288,1730,2357
36,8950,5,156,270,723,1190,1723,1885,2997
37,12139,3,123,353,976,1715,2291,2691,3986
38,4763,1,48,131,420,606,922,1095,1539
39,9857,5,90,197,700,1299,2031,2364,3170
40,7744,3,16,235,703,921,1341,1695,2829
41,5063,2,51,103,269,572,873,1273,1919
42,11237,4,106,266,796,1485,2054,2546,3979
43,0,0,0,0,0,0,0,0,0
44,6599,4,75,150,458,956,1314,1463,2178
45,9433,6,69,250,645,1123,1614,2194,3531
46,6724,2,35,211,580,782,1292,1467,2354
47,5767,9,23,114,407,691,1081,1384,2057
48,18077,11,153,564,1580,2534,3271,3828,6135
49,10173,6,89,469,1282,1736,1958,2015,2617
50,6798,2,48,156,443,827,1448,1698,2175
51,5392,14,68,107,409,757,1152,1241,1643
52,0,0,0,0,0,0,0,0,0
53,19628,9,167,572,1339,2328,3579,4892,6741
54,4401,2,33,115,348,563,804,1021,1514
55,4781,6,37,135,334,664,1060,1114,1430
56,5839,5,44,155,436,665,1100,1428,2005
66,784,0,9,76,110,187,145,139,117
72,3542,3,25,184,268,401,532,706,1422
